"uid","gvkey","permno","conm","City","Number.of.Workers","WARN.Received.Date","rd_intensity_1yr","rd_intensity_3yr","rd_intensity_5yr","rd_group_1yr","rd_group_3yr","rd_group_5yr","CAR_1_Day_Window","CAR_3_Day_Window","CAR_5_Day_Window","CAR_10_Day_Window"
"44601-23APR2015","001913",44601,"AVERY DENNISON CORP","Lenoir, Greensboro",225,"04/23/2015",0.0161919656256418,0.0164134974168014,0.0158504590584698,"Low R&D","Low R&D","Low R&D",-0.0017162462,-0.0012924744,0.0652528845,0.0529413397
"44601-18DEC2020","001913",44601,"AVERY DENNISON CORP","Fort Wayne",154,"12/18/2020",0.0130974102205061,0.0136454657204054,0.0142151126772173,"Low R&D","Low R&D","Low R&D",0.0043642245,0.0045700397,-0.0046998745,-0.0004477663
"40416-17SEP2018","001920",40416,"AVON PRODUCTS","Rye",105,"09/17/2018",0.00925537126460914,0.00947177084499377,0.00844534382473711,"Low R&D","Low R&D","Low R&D",0.1657488484,0.2139561575,0.1982022888,0.1524240899
"40416-01DEC2019","001920",40416,"AVON PRODUCTS","Faribault",51,"12/01/2019",0.00888411778859501,0.00908384820000498,0.0088720920434305,"Low R&D","Low R&D","Low R&D",0.0638309027,0.0592215405,0.0153327488,0.1162176237
"40416-01JAN2020","001920",40416,"AVON PRODUCTS","Faribault",6,"01/01/2020",0.00888411778859501,0.00908384820000498,0.0088720920434305,"Low R&D","Low R&D","Low R&D",0.019086888,0.0457368604,0.0291477461,0.0380536462
"40416-28JAN2020","001920",40416,"AVON PRODUCTS","Fort Wayne",116,"01/28/2020",0.00888411778859501,0.00908384820000498,0.0088720920434305,"Low R&D","Low R&D","Low R&D",NA,NA,NA,NA
"40416-02JUL2018","001920",40416,"AVON PRODUCTS","Sheboygan",127,"07/02/2018",0.00925537126460914,0.00947177084499377,0.00844534382473711,"Low R&D","Low R&D","Low R&D",-0.0045653829,-0.0366435117,-0.1198504333,-0.1657861697
"57568-07DEC2022","001988",57568,"BALL CORP","St. Paul",98,"12/07/2022",0.00405473897617841,0.00395965679848103,0.00341752748267938,"Low R&D","Low R&D","Low R&D",0.0129345665,0.0045351243,0.0205558115,0.0144655731
"57568-03AUG2022","001988",57568,"BALL CORP","Phoenix",120,"08/03/2022",0.00405473897617841,0.00395965679848103,0.00341752748267938,"Low R&D","Low R&D","Low R&D",-0.194801954,-0.2409487054,-0.2078226994,-0.1360931089
"57568-11AUG2011","001988",57568,"BALL CORP","Torrance",131,"08/11/2011",0.00290956749672346,0.00358192596657768,0.0035618408457937,"Low R&D","Low R&D","Low R&D",-0.0098811168,0.0137752663,0.0350972604,-0.0214392421
"39693-09OCT2012","002049",39693,"BARNES GROUP INC","Houston",NA,"10/09/2012",0.00513103377502982,0.00476455206280734,0.00457335127129096,"Low R&D","Low R&D","Low R&D",-0.0058446084,-0.0014179239,-0.0206445499,0.0020711926
"39693-17OCT2019","002049",39693,"BARNES GROUP INC","Boston",413,"10/17/2019",0.0108250010528856,0.0105318017076603,0.0109455161164183,"Low R&D","Low R&D","Low R&D",0.0126766107,0.0425834748,0.0557268182,0.147624771
"39693-01FEB2020","002049",39693,"BARNES GROUP INC","Lyndhurst",23,"02/01/2020",0.0105062107760754,0.0105365578537566,0.0105456608125088,"Low R&D","Low R&D","Low R&D",0.000131916900000001,-0.0234407911,-0.0233056663,-0.047574011109
"39693-01FEB2020","002049",39693,"BARNES GROUP INC","Lyndhurst",21,"02/01/2020",0.0105062107760754,0.0105365578537566,0.0105456608125088,"Low R&D","Low R&D","Low R&D",0.000131916900000001,-0.0234407911,-0.0233056663,-0.047574011109
"27887-22NOV2013","002086",27887,"BAXTER INTERNATIONAL INC","West Sacramento",17,"11/22/2013",0.0814658210007047,0.0732134621342917,0.072586620249851,"High R&D","High R&D","High R&D",-0.029374563,-0.0143605853,0.0089586814,0.0232099396
"27887-27SEP2013","002086",27887,"BAXTER INTERNATIONAL INC","West Sacramento",6,"09/27/2013",0.0814658210007047,0.0732134621342917,0.072586620249851,"High R&D","High R&D","High R&D",-0.0118506894,-0.1137746271,-0.0908595801,-0.0852833269
"27887-03MAY2013","002086",27887,"BAXTER INTERNATIONAL INC","West Sacramento",31,"05/03/2013",0.0814658210007047,0.0732134621342917,0.072586620249851,"High R&D","High R&D","High R&D",-0.0004289844,-0.0142810603,-0.0095901708,-0.027229947
"39642-06OCT2010","002111",39642,"BECTON DICKINSON & CO","Ann Arbor",50,"10/06/2010",0.0584614124185655,0.0569425685309464,0.0616579906847264,"High R&D","High R&D","High R&D",0.0064498483,0.0082015795,0.0138754031,0.0429588084
"39642-18JAN2024","002111",39642,"BECTON DICKINSON & CO","2350 Qume Drive San Jose CA 95131",111,"01/18/2024",0.0638550485236424,0.0655152383320013,0.0643996829036376,"High R&D","High R&D","High R&D",-0.003421431,0.0056245361,-0.0182874309,-0.0383027981
"39642-30NOV2023","002111",39642,"BECTON DICKINSON & CO","3750 Torrey View Court San Diego CA 92130",38,"11/30/2023",0.0638550485236424,0.0655152383320013,0.0643996829036376,"High R&D","High R&D","High R&D",-0.0010095781,-0.0231593509,-0.0132913774,-0.005238024
"39642-30NOV2023","002111",39642,"BECTON DICKINSON & CO","10020 Pacific Mesa Blvd. San Diego CA 92121",27,"11/30/2023",0.0638550485236424,0.0655152383320013,0.0643996829036376,"High R&D","High R&D","High R&D",-0.0010095781,-0.0231593509,-0.0132913774,-0.005238024
"43772-23JAN2018","002154",43772,"BEMIS CO INC",NA,77,"01/23/2018",0.0106025406554298,0.0110154740550687,0.0104690034729141,"Low R&D","Low R&D","Low R&D",-0.0090191411,0.0119445498,-0.0184587092,-0.0783505798
"85914-31AUG2021","002184",85914,"BEST BUY CO INC","El Segundo",50,"08/31/2021",0,0,0,"Low R&D","Low R&D","Low R&D",-0.0067870341,-0.07221565,-0.0110757983,-0.0404260626
"85914-01SEP2019","002184",85914,"BEST BUY CO INC","Hutchinson",47,"09/01/2019",0,0,0,"Low R&D","Low R&D","Low R&D",0.0022899099,-0.0645802302,-0.0104110951,0.00219338172799999
"85914-05AUG2018","002184",85914,"BEST BUY CO INC","Liverpool",76,"08/05/2018",0,0,0,"Low R&D","Low R&D","Low R&D",0.0038637234,0.021335402,0.0124494573,-0.0081781535
"19561-09DEC2024","002285",19561,"BOEING CO","Various",396,"12/09/2024",0.0434095174435046,0.0407809824194843,0.0405014035010713,"High R&D","High R&D","High R&D",0.0653303312,0.0951481895,0.1224174204,0.2505536388
"19561-14NOV2014","002285",19561,"BOEING CO","Huntington Beach",64,"11/14/2014",0.0354524779792896,0.0442740636176686,0.0584378283778052,"High R&D","High R&D","High R&D",0.021837242,0.0533020791,0.053310581,0.0510940269
"19561-27DEC2023","002285",19561,"BOEING CO","14441 Astronautics Lane Huntington Beach CA 92647",2,"12/27/2023",0.0428176795580111,0.0403818834062194,0.0382846379082834,"High R&D","High R&D","High R&D",-0.0038569468,-0.0336329311,-0.0367009848,-0.1243778455
"17961-22AUG2019","002393",17961,"BRIGGS & STRATTON",NA,628,"08/22/2019",0.012414209914489,0.0126119879678906,0.0118791715265279,"Low R&D","Low R&D","Low R&D",-0.071708497,-0.1322082253,-0.5220658619,-0.2451701725
"17961-26JUN2020","002393",17961,"BRIGGS & STRATTON","Wauwatosa",228,"06/26/2020",0.012414209914489,0.0126119879678906,0.0118791715265279,"Low R&D","Low R&D","Low R&D",0.030177326,-0.043864779,-0.0928808909,-0.3661436321
"19393-01NOV2024","002403",19393,"BRISTOL-MYERS SQUIBB CO","Lawrenceville",195,"11/01/2024",0.226903079589388,0.231780725729905,0.292317003034135,"High R&D","High R&D","High R&D",0.0588996122,0.0468998233,0.0198585264,0.0794611669
"19393-01NOV2012","002403",19393,"BRISTOL-MYERS SQUIBB CO","Plainsboro",137,"11/01/2012",0.180709847486349,0.185879554126005,0.182952846030129,"High R&D","High R&D","High R&D",-0.0138836084,-0.000729392600000001,-0.0358500985,-0.0640364156
"19393-13SEP2022","002403",19393,"BRISTOL-MYERS SQUIBB CO","10628 Science Center Drive Suite 200 San Diego CA 92121",92,"09/13/2022",0.244777406489167,0.337006748156709,0.320166996546816,"High R&D","High R&D","High R&D",0.0055754845,0.0289799207,-0.0043101225,-0.0204483501
"19393-23OCT2018","002403",19393,"BRISTOL-MYERS SQUIBB CO","Wallingford",86,"10/23/2018",0.308577204466692,0.306783466748521,0.28671860471064,"High R&D","High R&D","High R&D",-0.0737227696,-0.1067103968,-0.106920207,-0.1340192035
"19393-16SEP2021","002403",19393,"BRISTOL-MYERS SQUIBB CO","Brisbane",4,"09/16/2021",0.531092713674209,0.349160123926073,0.322068569863694,"High R&D","High R&D","High R&D",-0.0163935417,-0.044583607,-0.0713149451,-0.1110209981
"19393-24AUG2021","002403",19393,"BRISTOL-MYERS SQUIBB CO","Brisbane",14,"08/24/2021",0.531092713674209,0.349160123926073,0.322068569863694,"High R&D","High R&D","High R&D",-0.029389205,-0.0275757826,-0.0291404206,-0.0503136065
"55597-19JAN2011","002448",55597,"MATERION CORP","Weatherford",107,"01/19/2011",0.00546181642829609,0.00735938719733728,0.00655222973638453,"Low R&D","Low R&D","Low R&D",0.0047635196,-0.0459193224,-0.0634716687,-0.1502593045
"10890-01JUN2012","002504",10890,"UNISYS CORP","Edwards Air Force Ba",14,"06/01/2012",0.0197467434739737,0.0205129392675756,0.0235713062336761,"Low R&D","Low R&D","High R&D",-0.052843673,-0.0361459789,-0.0940264945,-0.0981958134
"10890-14MAY2018","002504",10890,"UNISYS CORP","Edwards",90,"05/14/2018",0.0172149682690204,0.020731536477331,0.0205599613826262,"Low R&D","High R&D","High R&D",-0.0157256489,-0.0292331857,-0.0501279968,-0.00191074650000001
"67838-18DEC2015","002556",67838,"CSS INDUSTRIES INC","El Paso",70,"12/18/2015",0.0229105173713599,0.0197925547729567,0.0205489348656765,"High R&D","Low R&D","Low R&D",0.027217287,0.0132250784,0.0272819191,-0.0331349503
"28564-28MAR2017","002577",28564,"CTS CORP",NA,70,"03/28/2017",0.0606031577169449,0.0584000055779224,0.0536343568948346,"High R&D","High R&D","High R&D",-0.047682002,-0.0274578423,-0.0904464035,-0.0583026059
"28564-24JUL2018","002577",28564,"CTS CORP","Elkhart",103,"07/24/2018",0.0594477922802505,0.0596005673349095,0.0582722782031445,"High R&D","High R&D","High R&D",-0.0415349352,-0.0517903618,-0.0763100589,-0.1162202094
"28564-01FEB2011","002577",28564,"CTS CORP","FORT MONMOUTH",245,"02/01/2011",0.0331372446126871,0.0293226533503849,0.0270705444122238,"High R&D","High R&D","High R&D",0.0315798983,-0.0110552623,0.0450834897,-0.0133114097
"20670-17DEC2020","002615",20670,"CALAMP CORP","Henderson",1,"12/17/2020",0.0804027237938635,0.0756082293626616,0.0720085272515018,"High R&D","High R&D","High R&D",-0.130713332,-0.1082339286,-0.0234028773,-0.0201140697
"21152-21NOV2014","002721",21152,"CANON INC","Santa Ana",5,"11/21/2014",0.0820940310033067,0.0846043674044912,0.0867849477924996,"High R&D","High R&D","High R&D",0.0090715822,0.0224020898,0.0497691245,0.0289259046
"20618-09OCT2023","002787",20618,"CARPENTER TECHNOLOGY CORP","Detroit",83,"10/09/2023",0.00956750186252598,0.0113424330733778,0.0113307903206961,"Low R&D","Low R&D","Low R&D",0.0337551679,0.0010538908,-0.0590652907,-0.0709971436
"21742-12MAY2019","002807",21742,"CASEYS GENERAL STORES INC","Lincoln",6,"05/12/2019",0,0,0,"Low R&D","Low R&D","Low R&D",0.0037589109,0.0326964943,0.0255114911,0.0369264691
"18542-26NOV2024","002817",18542,"CATERPILLAR INC","Gina Greene",60,"11/26/2024",0.0314345362362064,0.0316790047414336,0.0320798509874241,"High R&D","High R&D","High R&D",0.0147168112,0.0364049143,0.0097338915,-0.0129853648
"18542-31DEC2014","002817",18542,"CATERPILLAR INC","Fountain Inn",235,"12/31/2014",0.0386887503624239,0.0376282735370823,0.0391622428895096,"High R&D","High R&D","High R&D",-0.0002650834,-0.0290056622,-0.020271648,-0.0289149295
"18542-31DEC2014","002817",18542,"CATERPILLAR INC","Fountain Inn",120,"12/31/2014",0.0386887503624239,0.0376282735370823,0.0391622428895096,"High R&D","High R&D","High R&D",-0.0002650834,-0.0290056622,-0.020271648,-0.0289149295
"18542-07AUG2018","002817",18542,"CATERPILLAR INC",NA,85,"08/07/2018",0.0419031278870265,0.0461942832576861,0.0428066270559882,"High R&D","High R&D","High R&D",-0.000371988600000001,-0.0327174276,-0.0545354782,0.000599217100000001
"18542-25MAY2017","002817",18542,"CATERPILLAR INC","Elkader",59,"05/25/2017",0.0506266704725329,0.0451228240828186,0.0419129084994558,"High R&D","High R&D","High R&D",0.0110344039,0.0164512753,0.004550701,0.040033518
"86474-30JUL2014","002829",86474,"R F INDUSTRIES LTD","Los Angeles",55,"07/30/2014",0.0382252559726962,0.0285923152349196,0.0257457288456768,"High R&D","High R&D","High R&D",0.0004360712,0.0101378953,-0.0047632463,-0.0109137079
"86474-16MAY2024","002829",86474,"R F INDUSTRIES LTD","Ottawa",80,"05/16/2024",0.0436620108635406,0.0345287590604898,0.0352657849141959,"High R&D","High R&D","High R&D",-0.0111120869,0.0484707389,0.048177174,0.0428985151
"90011-28SEP2015","002940",90011,"MAGELLAN HEALTH INC","Baton Rouge",80,"09/28/2015",0,0,0,"Low R&D","Low R&D","Low R&D",-0.0442899689,-0.0452560541,-0.0391404508,-0.1913795768
"90011-01MAY2014","002940",90011,"MAGELLAN HEALTH INC","Parsippany",137,"05/01/2014",0,0,0,"Low R&D","Low R&D","Low R&D",-0.0117134451,0.0227553681,0.0325437542,0.00881955260000001
"14541-08OCT2020","002991",14541,"CHEVRON CORP","El Segundo",50,"10/08/2020",0.00357487577306689,0.00327405583305568,0.00386662801744491,"Low R&D","Low R&D","Low R&D",-0.0254417209,-0.0404677667,-0.0310452824,-0.0675718628
"14541-25AUG2023","002991",14541,"CHEVRON CORP",NA,199,"08/25/2023",0.00113695660474213,0.002487947627332,0.00277790647282829,"Low R&D","Low R&D","Low R&D",0.0117219193,-0.0110385085,0.0179928946,0.0576937912
"14541-07APR2016","002991",14541,"CHEVRON CORP","Houston",164,"04/07/2016",0.0049034805737317,0.00404107547292232,0.00353762062131092,"Low R&D","Low R&D","Low R&D",0.032551982,0.028420109,-0.0103276987,-0.0027784267
"24476-20JAN2021","003157",24476,"COHERENT INC","Roseville",57,"01/20/2021",0.0940423873412427,0.0819194812435289,0.0821563942852102,"High R&D","High R&D","High R&D",0.3144135417,0.3288964437,0.2388617114,0.3432686395
"14055-24APR2017","003169",14055,"ONCOMED PHARMACEUTICALS","Redwood City",62,"04/24/2017",1.71188327436091,1.40035023900451,1.21041330942137,"High R&D","High R&D","High R&D",0.0014485238,0.00765185200000001,-0.226293282,-0.7233013526
"18729-01APR2016","003170",18729,"COLGATE-PALMOLIVE CO","Morristown",300,"04/01/2016",0.0170886865411002,0.0161495909074842,0.015853003220017,"Low R&D","Low R&D","Low R&D",0.0039063158,0.0038137014,0.0086908564,0.011053069589
"56274-17AUG2021","003362",56274,"CONAGRA BRANDS INC",NA,320,"08/17/2021",0.00458662279721405,0.00519005105717924,0.00544538093032977,"Low R&D","Low R&D","Low R&D",-0.0263025222,-0.0086630251,-0.0094761762,-0.020956035
"56274-08APR2024","003362",56274,"CONAGRA BRANDS INC","Beaver Dam",252,"04/08/2024",0.00469984523906492,0.00463849856013866,0.00497980521094793,"Low R&D","Low R&D","Low R&D",0.0161592251,0.0222532545,0.029100000337,0.1036580258
"27430-06APR2020","003502",27430,"COOPER TIRE & RUBBER CO","Findlay",797,"04/06/2020",0.0254039850485298,0.0230568006040734,0.0211157877300943,"High R&D","High R&D","High R&D",-0.0039722,0.1622693591,0.0357490501,-0.1182371829
"27430-14APR2020","003502",27430,"COOPER TIRE & RUBBER CO","Tupelo",1448,"04/14/2020",0.0254039850485298,0.0230568006040734,0.0211157877300943,"High R&D","High R&D","High R&D",-0.084197718,-0.0731118376,0.0351271243,0.0829696082
"20204-17APR2019","003580",20204,"CRANE CO","Signal Hill",53,"04/17/2019",0.0174562845613511,0.0202780145332791,0.0213994914110979,"Low R&D","Low R&D","High R&D",0.0123483129,-0.0039271393,-0.0134965212,-0.0130649859
"41080-27AUG2021","003650",41080,"CUMMINS INC",NA,221,"08/27/2021",0.0455807379738529,0.04184325095184,0.0393285468597475,"High R&D","High R&D","High R&D",-0.0032116955,-0.0107671433,0.0034954549,-0.0186997541
"41080-28SEP2013","003650",41080,"CUMMINS INC","Bakersfield",34,"09/28/2013",0.0415514061779622,0.0357383733533552,0.0340216597910206,"High R&D","High R&D","High R&D",-0.007484102,0.0050045814,0.016366662,0.0176365672
"41080-13NOV2024","003650",41080,"CUMMINS INC","Nashville",46,"11/13/2024",0.0440334654337296,0.0449776582705651,0.0445707753092203,"High R&D","High R&D","High R&D",0.0241920713,0.0373866578,-0.0048803247,0.0945752682
"92570-10JUN2013","003734",92570,"DANA INC","Rochester Hills",37,"06/10/2013",0.00789036544850498,0.0121157149712633,0.0165902146226794,"Low R&D","Low R&D","Low R&D",0.0010573281,-0.000940197799999999,-0.0318986865,-0.0437970193
"49154-27APR2012","003813",49154,"TARGET CORP",NA,65,"04/27/2012",0,0,0,"Low R&D","Low R&D","Low R&D",0.0177836771,0.0122433034,-0.0100630679,-0.0195534298
