"gvkey","tic","Company","conm","City","Number.of.Workers","WARN.Received.Date","Effective.Date"
"016716","EMCI","ACCC Insurance Company","EMC INSURANCE GROUP INC","Houston",122,"12/21/2020","12/30/2020"
"060799","ARX","ACCELLENT","ACCELERANT HOLDINGS","Huntsville",78,"05/11/2009","11/06/2009"
"143357","ACN","ACCENTURE LLP","ACCENTURE PLC","Hoover",125,"12/05/2005","01/31/2006"
"164506","ACCO","ACCO Brands","ACCO BRANDS CORP","Pleasant Prairie",26,"01/22/2018","03/23/2018"
"164506","ACCO","ACCO Brands USA LLC","ACCO BRANDS CORP","Ogdensburg",62,"09/23/2019","11/29/2019"
"164506","ACCO","ACCO Brands USA, LLC","ACCO BRANDS CORP","Pleasant Prairie",54,"08/28/2018","10/26/2018"
"163946","CF","ACF Industries","CF INDUSTRIES HOLDINGS INC","Milton",307,"06/01/2003","08/15/2003"
"163946","CF","ACF Industries LLC","CF INDUSTRIES HOLDINGS INC","Milton",181,"11/01/2015","01/16/2016"
"163946","CF","ACF Industries, Inc.","CF INDUSTRIES HOLDINGS INC","Milton",328,"12/01/2008","02/14/2009"
"111402","ARPC","ACRT Pacific","AREM PACIFIC CORP","1325 S Grand Ave Santa Ana CA 92705",4,"01/23/2024","01/31/2024"
"045238","PACS","ACS","PACS GROUP INC","Southgate",70,"03/03/2006",NA
"009325","SLI.1","ACS Industries, Inc","SL INDUSTRIES INC","Manning",31,"04/01/2019",NA
"045238","PACS","ACS, LLC","PACS GROUP INC","Yuma",60,"02/21/2018",NA
"001094","ACETQ","ACT, Inc","ACETO CORP","Iowa City",106,"05/17/2023","06/19/2023"
"001094","ACETQ","ACT, Inc.","ACETO CORP","Iowa City",37,"06/25/2020","08/23/2020"
"126136","CHTR","ACTEL COMMUNICATIONS, INC.","CHARTER COMMUNICATIONS INC","Mobile",175,"04/16/2001","04/11/2001"
"126136","CHTR","ADC Telecommunications, Inc.","CHARTER COMMUNICATIONS INC","Boca Raton",49,"08/08/2002","09/30/2002"
"001920","AVP","ADCO Products Inc.","AVON PRODUCTS","Evansville",68,"05/24/2010","08/06/2010"
"122154","ADFJF","ADF Corporation","ADF GROUP INC","Brookpark",72,"11/07/1997","12/31/1997"
"001891","ADP","ADP-Automatic Data Processing, Inc.","AUTOMATIC DATA PROCESSING","Sarasota",58,"11/14/2005","02/10/2006"
"176873","RLOGQ","ADS Logistics","RAND LOGISTICS INC","Gaffney",105,"02/15/2016",NA
"014438","ADT.4","ADT","ADT CORP","Boca Raton",73,"05/31/2024","7/29/2024-12/15/2024"
"176661","JASO","ADT Solar","JA SOLAR HOLDINGS CO LTD","Germantown",28,"03/07/2024","02/23/2024"
"031803","ADV","ADVANTAGE Health Solutions, Inc","ADVANTAGE SOLUTIONS INC","Indianapolis",78,"01/29/2016","03/31/2016"
"147988","ACM","AECOM","AECOM","South Carolina",10,"03/14/2020",NA
"147988","ACM","AECOM-URS","AECOM","Kennedy Space Center",629,"12/05/2018","01/31/2019"
"001177","AET","AETNA","AETNA INC","Blue Bell",124,"02/01/2005",NA
"041956","FBGL","AF Global Corporation","FBS GLOBAL LTD","Houston",89,"03/27/2015","05/18/2015"
"034030","HFFG","AFA Foods, Inc.","HF FOODS GROUP INC","Ashville",100,"07/19/2012",NA
"039627","FGI","AFG INDUSTRIES","FGI INDUSTRIES LTD","CINNAMINSON",188,"12/01/2006","02/05/2007"
"036206","ALTG","AG Equipment Company","ALTA EQUIPMENT GROUP INC","Broken Arrow",70,"07/15/2016",NA
"025180","AGCO","AGC","AGCO CORP",NA,140,"02/06/2009","02/26/2009"
"038900","HCWB","AGC Biologics, Inc.","HCW BIOLOGICS INC",NA,85,"09/18/2024","11/22/2024"
"025180","AGCO","AGCO Corporation","AGCO CORP","Duluth",2,"12/03/2024","02/01/2025"
"164099","ATNY","AIG Technologies, Inc.","API TECHNOLOGIES CORP","Fort Worth",63,"05/20/2021","07/23/2021"
"001266","ALCO","AIMCO","ALICO INC","Greenbelt",109,"05/09/2008","06/16/2008"
"034346","AMCI.2","AIO Acquisition Inc.","AMCI ACQUISITION CORP","Ontario",5,"10/26/2020","05/22/2020"
"142381","0100A","AIS Healthcare","IASIS HEALTHCARE LLC",NA,23,"12/08/2021","02/08/2022"
"006178","AES4","AJLS Enterprises Inc.","IPALCO ENTERPRISES INC","Madison",56,"04/02/2020","04/03/2020"
"024800","QCOM","ALCOM LLC","QUALCOMM INC","Hartford",113,"10/21/2024","01/12/2025"
"143217","ADTR","ALLIANCE DATA","ALLIANCE MEDIA HOLDINGS INC","VOORHEES",68,"03/01/2004","05/19/2004"
"026337","XCOMQ","ALLTEL Communications, Inc.","XTERA COMMUNICATIONS INC","Kittanning",109,"02/01/2002",NA
"121817","SALM","ALM Media, LLC","SALEM MEDIA GROUP INC","New York",61,"04/30/2015","07/31/2015"
"170555","GLOG","ALOG Corporation","GASLOG LTD","Fort Benning",159,NA,"08/09/2015"
"007085","MAS","ALSCO","MASCO CORP",NA,21,"01/05/2021","12/15/2020"
"023094","ABVN","AMA Consulting Group, LLC","ABV CONSULTING INC","Oviedo",1,"07/01/2024","07/31/2024"
"012250","AMAG","AMAG Pharmaceuticals, Inc.","AMAG PHARMACEUTICALS INC","Waltham",104,"06/10/2020","03/25/2020"
"100243","AMCR","AMCOR","AMCOR PLC","Cidra",35,"07/23/2019","03/30/2020"
"001388","AMR1","AMERICAN AIRLINES","AMERICAN AIRLINES INC","NEWARK",44,"07/01/2008","09/05/2008"
"001388","AMR1","AMERICAN AIRLINES INC","AMERICAN AIRLINES INC","Memphis",35,"10/08/2012","10/16/2012"
"065345","ACAS","AMERICAN APPAREL","AMERICAN CAPITAL LTD","Fort Deposit",181,"01/09/2012","03/09/2012"
"065345","ACAS","AMERICAN APPAREL INC.","AMERICAN CAPITAL LTD","Selma",250,"09/25/2012","10/08/2012"
"065345","ACAS","AMERICAN APPAREL, INC.","AMERICAN CAPITAL LTD","Brantley",91,"11/10/1998","08/31/1998"
"018685","ACAN","AMERICAN CANDY COMPANY","AMERICANN INC","Selma",330,"05/08/2002","05/10/2002"
"017639","AMH","AMERICAN HOMESTAR CORPORATION","AMERICAN HOMES 4 RENT","Brilliant",193,"03/16/2000","03/15/2000"
"025589","AREC","AMERICAN POWER SOURCE","AMERICAN RESOURCES CORP","Fayette",119,"08/31/2012","10/27/2012"
"105365","AMT","AMERICAN WATER","AMERICAN TOWER CORP","WESTFIELD",56,"01/01/2005","03/31/2005"
"012379","AMWD","AMERICAN WOODMARK CORPORATION","AMERICAN WOODMARK CORP",NA,3,"06/04/2020","05/29/2020"
"030222","ABCB","AMERIS BANK","AMERIS BANCORP","Dothan",50,"09/27/2019","12/31/2019"
"001598","AME","AMETEK","AMETEK INC","Cambridge",148,"08/12/1999","10/16/1999"
"001598","AME","AMETEK Inc.","AMETEK INC","Irvine",42,"05/03/2018","06/29/2018"
"162219","OHAI","AMMA Investment Group, LLC","OHA INVESTMENT CORP","Amado",103,"08/18/2022",NA
"005878","ITW","AMP (Illinois Tool Works)","ILLINOIS TOOL WORKS","Pontotoc",13,"10/11/2013","10/31/2013"
"325576","APG","AMPI","API GROUP CORP","Hillsboro",80,"08/04/1998",NA
"163058","VQSSF","AMQ Solutions, LLC","VIQ SOLUTIONS INC","12400 Arrow Route Rancho Cucamonga CA 91739",37,"01/18/2024","03/22/2024"
"111282","CNRD","ANADARKO INDUSTRIES, LLC.","CONRAD INDUSTRIES INC","Huntsville",14,"07/18/2016","09/30/2016"
"024837","AHPIQ","ANSELL HEALTHCARE PRODUCTS, INC.","ALLIED HEALTHCARE PRODS INC","Troy",125,"08/02/2002","09/30/2002"
"179229","LYDIF","ANVIL INTERNATIONAL","LYDIAN INTERNATIONAL LTD","Anniston",44,"11/16/2017","01/12/2018"
"021542","AAON","AON","AAON INC","Philadelphia",76,"12/01/2005","01/31/2006"
"001678","APA","APAC","APA CORP","Oklahoma City",262,"09/23/2006",NA
"164099","ATNY","API Technologies Corp.","API TECHNOLOGIES CORP","Wesson",24,"09/23/2016","02/28/2017"
"164099","ATNY","API Technologies, Corp.","API TECHNOLOGIES CORP","Fairport",61,"10/27/2017","01/24/2018"
"001690","AAPL","APL","APPLE INC","Newport Beach",7,"12/28/2020","11/16/2020"
"020539","PBFX","APL LOGISTICS","PBF LOGISTICS LP","MONROE",187,"08/01/2004","10/01/2004"
"020539","PBFX","APL Logistics","PBF LOGISTICS LP","Wichita",104,"10/08/2008",NA
"020539","PBFX","APL Logistics, Ltd.","PBF LOGISTICS LP",NA,52,"02/07/2024","04/30/2024"
"037407","MP","APM Terminals","MP MATERIALS CORP","Tacoma",12,"07/25/2017","09/22/2017"
"026718","PREGF","APR Energy","PRD ENERGY INC","Jacksonville",50,"08/10/2020","09/28/2020"
"142381","0100A","APS Healthcare","IASIS HEALTHCARE LLC","Franklin",37,"10/18/2012","12/31/2012"
"186858","ARMK","ARAMARK","ARAMARK","Mountain View",175,"12/23/2014","12/31/2014"
"186858","ARMK","ARAMARK at GM","ARAMARK","Marion",56,"06/26/2012","08/01/2012"
"065718","GPI","ARC Automotive Inc","GROUP 1 AUTOMOTIVE INC",NA,110,"06/20/2024","06/21/2024"
"022260","HCA","ARCON HEALTH CARE","HCA HEALTHCARE INC","Heflin",39,"09/25/1998","10/09/1998"
"176873","RLOGQ","ARD Logistics","RAND LOGISTICS INC","Ladson",106,"09/30/2020",NA
"065460","RDCM","ARDCO HOLDINGS, INC.","RADCOM","Scottsboro",140,"10/21/2002","12/16/2002"
"185952","REVG","AREVA INC.","REV GROUP INC","Newport News",1,"04/29/2011","06/29/2011"
"028712","ATRM","ARM Inc.","ATRM HOLDINGS INC","San Jose",70,"10/25/2018","10/23/2018"
"184345","BEEM","ARMA Global Inc.","BEAM GLOBAL",NA,99,"01/30/2018","03/31/2018"
"184345","BEEM","ARMA Global, Inc.","BEAM GLOBAL","Tampa",241,"01/31/2018","03/31/2018"
"175689","AWI","ARMSTRONG WORLD INDUSTRIES, INC. (3)","ARMSTRONG WORLD INDUSTRIES","Mobile",172,"03/11/2009","05/08/2009"
"039805","AIP","ARRIS Group Inc.","ARTERIS INC","Suwanee",20,"08/24/2016",NA
"009325","SLI.1","ASC Industries, Inc.","SL INDUSTRIES INC","Rochester Hills",5,"04/10/2020",NA
"007085","MAS","ASCO","MASCO CORP","Mount Pleasant",107,"08/08/2016","10/21/2016"
"031775","AATC","ASCO Power Technologies","AUTOSCOPE TECHNOLOGIES CORP","Stockton",104,"01/09/2015","04/03/2015"
"001794","ASH","ASHLAND","ASHLAND INC","BOONTON",158,"08/01/2008","09/30/2008"
"001794","ASH","ASHLAND INC.","ASHLAND INC","KEARNY",78,"06/01/2009","09/01/2009"
"184345","BEEM","ASM Global","BEAM GLOBAL","Providence",1029,"05/09/2024","06/30/2024"
"032638","ACMR","ASM RESEARCH","ACM RESEARCH INC","Tuscaloosa",57,"02/01/2018","03/27/2018"
"032638","ACMR","ASM Research","ACM RESEARCH INC","Long Beach",2,"02/08/2018","03/27/2018"
"170920","ASPU","ASWPengg LLC","ASPEN GROUP INC","Bedford Heights",122,"05/11/2020","06/30/2020"
"009899","T","AT & T","AT&T INC","White Plains",68,"09/14/2015","12/21/2015"
"009899","T","AT&T","AT&T INC","Fleming Island",138,"12/17/2024","01/21/2025-02/11/2025"
"009899","T","AT&T - 5001","AT&T INC","5001 Executive Parkway San Ramon CA 94583",19,"06/25/2024","08/24/2024"
"009899","T","AT&T - 5005","AT&T INC","5005 Executive Parkway San Ramon CA 94583",37,"06/25/2024","08/24/2024"
"009899","T","AT&T CORP.","AT&T INC","San Ramon",5,"09/08/2020","10/19/2020"
"125378","PTNRY","AT&T Communications, Inc.","PARTNER COMMUNICATIONS CO","Cerritos",107,"06/19/2018","08/14/2018"
"009899","T","AT&T Company","AT&T INC","San Ramon",1,"08/04/2009",NA
"009899","T","AT&T Corp","AT&T INC","Wall Township",50,"08/01/2010","11/02/2010"
"009899","T","AT&T Corp.","AT&T INC","Pleasanton",57,"08/20/2010",NA
"009899","T","AT&T Corporation","AT&T INC","Reynoldsburg",96,"09/22/2010","11/19/2010"
"066446","PWR","AT&T Services","QUANTA SERVICES INC","Goldsboro",95,"10/24/2016","01/03/2017"
"066446","PWR","AT&T Services, Inc.","QUANTA SERVICES INC","Saginaw",72,"08/22/2006",NA
"009899","T","AT&T ­ACS","AT&T INC","Ann Arbor",80,"09/12/2001",NA
"011313","WSO","ATCO","WATSCO INC","Pocatello",158,"04/21/2020","06/19/2020"
"177930","ATHN.2","ATHENAHEALTH","ATHENAHEALTH INC","Birmingham",63,"05/28/2014","08/01/2014"
"029478","ATS","ATOS","ATS CORP","Cartersville",1,NA,"02/28/2014"
"027925","AVID","AV Technology","AVID TECHNOLOGY INC","Shelby Township",32,"03/16/2000",NA
"139662","5933B","AVAYA","AVAYA INC","LINCROFT",63,"08/01/2008","10/23/2008"
"190355","AXGN","AXEON","AXOGEN INC","Paulsboro",115,"03/01/2017","05/01/2017"
"021378","AXAR","Aacer Acquisitions","AXAR ACQUISITION CORP","Peshtigo",126,"05/26/2022","07/31/2022"
"037839","SDA","Abacus Technology","SUNCAR TECHNOLOGY GROUP INC","Kennedy Space Center",388,"08/04/2017","09/30/2017"
"210418","ABBNY","Abb Inc.","ABB LTD","Albany",76,NA,"04/28/2009"
"016101","ABBV","AbbVie Inc","ABBVIE INC","North Brunswick",16,"07/01/2021","10/08/2021"
"016101","ABBV","AbbVie Inc.","ABBVIE INC","2525 Dupont Drive Irvine CA 92612",99,"09/14/2022","11/23/2022"
"001078","ABT","Abbott Laboratories","ABBOTT LABORATORIES","2302 Courage Dr Fairfield CA 94533",195,"03/20/2024","05/18/2024"
"001078","ABT","Abbott Laboratories, Inc.","ABBOTT LABORATORIES","South Pasadena",2,"11/23/2010",NA
"180057","IOVA","Abbvie Biotherapeutics,Inc.","IOVANCE BIOTHERAPEUTICS INC","Redwood City",63,"08/28/2013",NA
"221636","ABGBY","Abengoa","ABENGOA SA","Ravenna",NA,"02/01/2016",NA
"020412","ARES","Abeo Management Corporation","ARES MANAGEMENT CORP","Los Angeles",42,"11/28/2012",NA
"063643","ANF","Abercrombie & Fitch","ABERCROMBIE & FITCH  -CL A","Appleton, La Crosse, Wauwatosa",123,"04/08/2020","04/12/2020"
"063643","ANF","Abercrombie & Fitch Co","ABERCROMBIE & FITCH  -CL A","San Luis Obispo",40,"12/24/2020","01/16/2021"
"063643","ANF","Abercrombie & Fitch Co.","ABERCROMBIE & FITCH  -CL A","Santa Rosa",29,"12/24/2020","01/16/2021"
"063643","ANF","Abercrombie & Fitch Store 20184","ABERCROMBIE & FITCH  -CL A","Concord",46,"01/02/2010",NA
"063643","ANF","Abercrombie & Fitch USC Village","ABERCROMBIE & FITCH  -CL A","Los Angeles",9,"06/10/2020","06/05/2020"
"063643","ANF","Abercrombie and Fitch Co","ABERCROMBIE & FITCH  -CL A","Cincinnati",11,"01/12/2023","01/15/2023 to 01/15/2023"
"063643","ANF","Abercrombie and Fitch Management Co","ABERCROMBIE & FITCH  -CL A","New Albany",63,"01/17/2023","03/13/2023 to 01/24/2024"
"036983","VGAC","Abg Acquisition Corporation","VG ACQUISITION CORP","Mira Loma",75,"08/02/2010",NA
"026754","ABILF","Ability First","ABILITY INC","Pasadena",89,"09/28/2020","11/01/2020"
"026754","ABILF","AbilityFirst","ABILITY INC","Woodland Hills",105,"09/18/2015","11/20/2015"
"026754","ABILF","AbilityWorks","ABILITY INC","Oxford",8,"03/01/2021","02/13/2021"
"012088","ALTX","Able Industries Inc.","ALTEX INDUSTRIES INC","Binghamton",32,"07/18/2011","09/15/2011"
"185618","SBRA","Abrazo Health Care","SABRA HEALTH CARE REIT INC","Chandler",79,"01/07/2011",NA
"060799","ARX","Accellent Inc.","ACCELERANT HOLDINGS","Corry",68,"09/01/2005","10/31/2005"
"060799","ARX","Accent","ACCELERANT HOLDINGS","Kansas City",89,"05/04/2009","04/03/2009"
"143357","ACN","Accenture","ACCENTURE PLC","122 East Brokaw Road San Jose CA 95112",87,"12/13/2023","01/08/2024"
"143357","ACN","Accenture 2019","ACCENTURE PLC","Minneapolis",50,"11/01/2019","02/01/2019"
"143357","ACN","Accenture LLP","ACCENTURE PLC","Houston",95,"04/29/2008","08/04/2008"
"002787","CRS","Accenture Technology","CARPENTER TECHNOLOGY CORP","Detroit",83,"10/09/2023",NA
"060799","ARX","Acclarent, Inc.","ACCELERANT HOLDINGS","Menlo Park",114,"09/04/2015","11/06/2015"
"164506","ACCO","Acco Brands Usa Llc","ACCO BRANDS CORP","Atlanta",79,NA,"08/07/2006"
"145979","ACW","Accuride","ACCURIDE CORP",NA,18,"01/01/2001","02/02/2001"
"145979","ACW","Accuride Corp.","ACCURIDE CORP",NA,203,"09/03/1999",NA
"145979","ACW","Accuride Corporation","ACCURIDE CORP","Cleveland",132,"02/17/2009","2/11/2009-8/13/2009"
"021273","UGEIF","Ace International, LLC","UGE INTERNATIONAL LTD","Ames",9,"05/27/2022","04/30/2022"
"019718","AKAOQ","Achaogen, Inc.","ACHAOGEN INC","South San",85,"11/13/2018","01/04/2019"
"032086","CISN","Acision, LLC","CISION LTD","Richmond",65,"07/11/2014","09/09/2014"
"025904","ACRS","Aclaris Therapeutics, Inc.","ACLARIS THERAPEUTICS INC","Waynesburg",86,"09/01/2019","9/5/2019-2/28/2020"
"112111","CSGP","Acosta","COSTAR GROUP INC","Solon",55,"05/21/2014","07/21/2014"
"011636","XRX","Acs Xerox Company","XEROX HOLDINGS CORP","Atlanta",93,NA,"09/03/2010"
"020116","PAYC","Act-On Software, Inc.","PAYCOM SOFTWARE INC","Roseville",96,"01/05/2018","03/06/2018"
"125014","PCTI","Actel Corporation","PCTEL INC","Mountain View",65,"01/01/2011",NA
"041227","ASNS","Active Network","ACTELIS NETWORKS INC","San Diego",53,"03/04/2015","05/01/2015"
"041227","ASNS","Active Network, Inc.","ACTELIS NETWORKS INC","Celina",36,"11/24/2014","12/19/2014"
"012485","ATUS","Active USA, Inc.","ALTICE USA INC","Ypsilanti",59,"04/14/2005",NA
"180405","ATVI","Activision Blizzard","ACTIVISION BLIZZARD INC","13031 W. Jefferson Blvd Suite 200 Los Angeles CA 90094",143,"09/13/2024","11/15/2024"
"040781","RVSN","Activision, Inc","RAIL VISION LTD","El Segundo",56,"04/12/2011",NA
"040781","RVSN","Activision, Inc.","RAIL VISION LTD","Santa Monica",115,"04/12/2011",NA
"065552","INVE","Acuity Optical Laboratories, LLC dba Identity","IDENTIV INC","Normal",99,"10/16/2024","12/20/2024"
"036757","AFIB","Acutus Medical, Inc.","ACUTUS MEDICAL INC","2210 Faraday Avenue, Suite 100 Carlsbad CA 92008",57,"12/03/2024","02/01/2025"
"020042","ADMS","Adamas Pharmaceuticals Inc.","ADAMAS PHARMACEUTICALS INC","Emeryville",60,"10/26/2021","12/27/2021"
"031249","ALT","Adaptimmune, LLC","ALTIMMUNE INC","Philadelphia",50,"12/01/2022","02/28/2023"
"126596","ICABY","Adc Telicommunications","I-CABLE COMMUNICATIONS LTD","Chickamauga",64,NA,"05/28/2002"
"065460","RDCM","Adcomm, Inc.","RADCOM","Merritt Island",71,"05/02/2019","06/30/2019"
"142381","0100A","Addus Healthcare, Inc.","IASIS HEALTHCARE LLC","LV, Pa",360,"08/31/2020","10/27/2020"
"019987","AEGXF","Adecco Group NA","AECON GROUP INC","Palo Alto",108,"01/07/2016","03/09/2016"
"028194","AVNT","Adient","AVIENT CORP","Riverside",172,"09/13/2024","11/11/2024-01/06/2025"
"027333","ADNT","Adient plc","ADIENT PLC","Sycamore",142,"06/10/2021","03/29/2021"
"027333","ADNT","Adient, plc","ADIENT PLC",NA,146,"11/02/2017","12/31/2017"
"152388","DEQSF","Adobe Systems Inc","DEQ SYSTEMS CORP","San Francisco",17,"02/07/2014",NA
"028070","ASIX","AdvanSix Inc.","ADVANSIX INC","Pottsville",83,"05/01/2019","6/30/2019-12/31/2019"
"145977","AAP","Advance Auto Parts","ADVANCE AUTO PARTS INC","Glen Ellyn",125,"11/15/2024","01/26/2025-03/08/2025"
"018732","LKFN","Advance Financial","LAKELAND FINANCIAL CORP",NA,170,"04/30/2020","03/21/2020"
"027148","APFH","Advance Food Company","ADVANCEPIERRE FOODS HOLDINGS","Harlingen",93,"02/02/2007","04/01/2007"
"027148","APFH","Advance Foods","ADVANCEPIERRE FOODS HOLDINGS","Garland",216,"10/10/2008","12/12/2008"
"186206","ANDX","Advance Logistics, LLC.","ANDEAVOR LOGISTICS LP","Jackson",255,"09/09/2008","11/08/2008"
"027148","APFH","AdvancePierre Foods","ADVANCEPIERRE FOODS HOLDINGS","Orange City",143,"10/17/2012","12/28/2012"
"145977","AAP","Advanced Auto Parts (Camp Bowie)","ADVANCE AUTO PARTS INC","Fort Worth",11,"11/19/2024","02/09/2025"
"145977","AAP","Advanced Auto Parts (Forest Hill)","ADVANCE AUTO PARTS INC","Forest Hill",9,"11/19/2024","02/11/2025"
"145977","AAP","Advanced Auto Parts (Garland)","ADVANCE AUTO PARTS INC","Garland",10,"11/19/2024","02/12/2025"
"145977","AAP","Advanced Auto Parts (Josey Ln)","ADVANCE AUTO PARTS INC","Dallas",10,"11/19/2024","02/10/2025"
"145977","AAP","Advanced Auto Parts (Mccart Ave.)","ADVANCE AUTO PARTS INC","Fort Worth",9,"11/19/2024","02/11/2025"
"016648","ADSW","Advanced Disposal Services Eastern PA, Inc","ADVANCED DISPOSAL SERVICES","Norristown",104,"04/01/2021","06/20/2021"
"020126","WMS","Advanced Drainage Systems","ADVANCED DRAINAGE SYSTEMS","Logan Township",59,"02/01/2023","04/03/2023"
"020126","WMS","Advanced Drainage Systems Inc.","ADVANCED DRAINAGE SYSTEMS","Montgomery",59,"01/25/2023","03/18/2023"
"001161","AMD","Advanced Micro Devices, Inc","ADVANCED MICRO DEVICES","Sunnyvale",107,"10/25/2012",NA
